externalSampleId bilirubin creatinine cholesterol glucose urea weight fat_weight
BL1656-432 0.4 0.21 112 355 19 27.43 0.242373
BL1656-432 0.4 0.21 112 355 19 26.47 0.242373
BL1656-432 0.4 0.21 112 355 19 27.43 0.242373
BL1656-432 0.4 0.21 112 355 19 22.34 0.242373
BL1656-444 0.3 0.21 125 375 19 31.29 0.181002
BL1656-444 0.3 0.21 125 375 19 28.63 0.181002
BL1656-444 0.3 0.21 125 375 19 31.29 0.181002
BL1656-444 0.3 0.21 125 375 19 26.81 0.181002
BL1656-444 0.3 0.21 125 375 19 26.9 0.181002
BL1672-1539 0.2 0.22 124 353 13 21.91 0.173283
BL1672-1539 0.2 0.22 124 353 13 26.26 0.173283
BL1672-1539 0.2 0.22 124 353 13 26.61 0.173283
BL1672-1539 0.2 0.22 124 353 13 21.91 0.173283
BL1672-1554 0.2 0.2 111 384 25 29.88 0.10679
BL1672-1554 0.2 0.2 111 384 25 27.75 0.10679
BL1672-1554 0.2 0.2 111 384 25 26.77 0.10679
BL1672-1554 0.2 0.2 111 384 25 27.75 0.10679
BL1672-1554 0.2 0.2 111 384 25 31.28 0.10679
BL1690-647 0.2 0.21 122 402 18 26.74 0.208109
BL1690-647 0.2 0.21 122 402 18 27.99 0.208109
BL1690-647 0.2 0.21 122 402 18 24.58 0.208109
BL1690-647 0.2 0.21 122 402 18 26.74 0.208109
BL1690-647 0.2 0.21 122 402 18 26.72 0.208109
BL1765-1419 0.3 0.18 95 323 17 24.48 0.17215
BL1765-1419 0.3 0.18 95 323 17 22.14 0.17215
BL1765-1419 0.3 0.18 95 323 17 23.35 0.17215
BL1765-1419 0.3 0.18 95 323 17 19.34 0.17215
BL1765-1433 0.3 0.14 84 305 20 24.79 0.120379
BL1765-1433 0.3 0.14 84 305 20 25.51 0.120379
BL1765-1433 0.3 0.14 84 305 20 23.43 0.120379
BL1765-1433 0.3 0.14 84 305 20 24.67 0.120379
BL1765-1433 0.3 0.14 84 305 20 26.59 0.120379
BL1802-1537 0.3 0.22 62 193 13 21.65 0.12632
BL1802-1537 0.3 0.22 62 193 13 19.55 0.12632
BL1802-1537 0.3 0.22 62 193 13 22.55 0.12632
BL1802-1537 0.3 0.22 62 193 13 22.19 0.12632
BL1802-1556 0.4 0.2 132 349 25 24.06 0.157824
BL1802-1556 0.4 0.2 132 349 25 25.02 0.157824
BL1802-1556 0.4 0.2 132 349 25 28.3 0.157824
BL1802-1556 0.4 0.2 132 349 25 27.5 0.157824
BL1802-1556 0.4 0.2 132 349 25 29.19 0.157824
BL1803-733 0.2 0.16 121 337 14 23.58 0.160493
BL1803-733 0.2 0.16 121 337 14 24.18 0.160493
BL1803-733 0.2 0.16 121 337 14 24.18 0.160493
BL1803-733 0.2 0.16 121 337 14 20.16 0.160493
BL1803-752 0.5 0.19 141 345 16 22.52 0.160045
BL1803-752 0.5 0.19 141 345 16 24.02 0.160045
BL1803-752 0.5 0.19 141 345 16 26.06 0.160045
BL1803-752 0.5 0.19 141 345 16 26.06 0.160045
BL1803-752 0.5 0.19 141 345 16 26.89 0.160045
BL1824-1177 0.2 0.22 113 359 19 24 0.172507
BL1824-1177 0.2 0.22 113 359 19 24 0.172507
BL1824-1177 0.2 0.22 113 359 19 24.75 0.172507
BL1824-1177 0.2 0.22 113 359 19 20.06 0.172507
BL1824-1189 0.1 0.2 160 372 31 28.69 0.222506
BL1824-1189 0.1 0.2 160 372 31 28.53 0.222506
BL1824-1189 0.1 0.2 160 372 31 34.78 0.222506
BL1824-1189 0.1 0.2 160 372 31 34.78 0.222506
BL1824-1189 0.1 0.2 160 372 31 32.6 0.222506
BL1842-1251 0.3 0.23 118 370 24 29.37 0.211726
BL1842-1251 0.3 0.23 118 370 24 28.47 0.211726
BL1842-1251 0.3 0.23 118 370 24 22.33 0.211726
BL1842-1251 0.3 0.23 118 370 24 28.62 0.211726
BL1842-1259 0.2 0.26 144 373 25 36.23 0.231869
BL1842-1259 0.2 0.26 144 373 25 31.85 0.231869
BL1842-1259 0.2 0.26 144 373 25 36.23 0.231869
BL1842-1259 0.2 0.26 144 373 25 35.5 0.231869
BL1842-1259 0.2 0.26 144 373 25 31.67 0.231869
BL1856-817 0.5 0.23 93 493 15 20.06 0.124776
BL1856-817 0.5 0.23 93 493 15 21.62 0.124776
BL1856-817 0.5 0.23 93 493 15 20.06 0.124776
BL1856-817 0.5 0.23 93 493 15 21.56 0.124776
BL1918-934 0.2 0.21 81 308 20 22.48 0.181453
BL1918-934 0.2 0.21 81 308 20 27.79 0.181453
BL1918-934 0.2 0.21 81 308 20 22.48 0.181453
BL1918-934 0.2 0.21 81 308 20 25.4 0.181453
BL1918-953 0.4 0.23 138 392 14 26.58 0.253617
BL1918-953 0.4 0.23 138 392 14 26.58 0.253617
BL1918-953 0.4 0.23 138 392 14 20.77 0.253617
BL1918-953 0.4 0.23 138 392 14 26.96 0.253617
BL1918-956 0.7 0.24 132 358 21 22.49 0.238359
BL1918-956 0.7 0.24 132 358 21 28.51 0.238359
BL1918-956 0.7 0.24 132 358 21 26.63 0.238359
BL1918-956 0.7 0.24 132 358 21 28.51 0.238359
BL1996-940 0.5 0.25 94 384 19 24.18 0.228681
BL1996-940 0.5 0.25 94 384 19 28.45 0.228681
BL1996-940 0.5 0.25 94 384 19 28.45 0.228681
BL1996-940 0.5 0.25 94 384 19 27.12 0.228681
BL1996-949 0.2 0.26 145 333 24 32.88 0.234358
BL1996-949 0.2 0.26 145 333 24 32.88 0.234358
BL1996-949 0.2 0.26 145 333 24 27.97 0.234358
BL1996-949 0.2 0.26 145 333 24 26.73 0.234358
BL1996-949 0.2 0.26 145 333 24 31.84 0.234358
BL1997-456 0.1 0.15 84 292 18 22.89 0.140215
BL1997-456 0.1 0.15 84 292 18 22.45 0.140215
BL1997-456 0.1 0.15 84 292 18 20.1 0.140215
BL1997-456 0.1 0.15 84 292 18 22.45 0.140215
BL1997-467 0.2 0.2 98 323 18 25.51 0.183387
BL1997-467 0.2 0.2 98 323 18 27.4 0.183387
BL1997-467 0.2 0.2 98 323 18 26.93 0.183387
BL1997-467 0.2 0.2 98 323 18 24.86 0.183387
BL1997-467 0.2 0.2 98 323 18 26.47 0.183387
BL2012-329 0.4 0.19 100 296 14 19.9 0.163656
BL2012-329 0.4 0.19 100 296 14 23.61 0.163656
BL2012-329 0.4 0.19 100 296 14 22.03 0.163656
BL2012-329 0.4 0.19 100 296 14 22.03 0.163656
BL2097-1277 1.3 0.24 149 354 15 28.42 0.237038
BL2097-1277 1.3 0.24 149 354 15 28.13 0.237038
BL2097-1277 1.3 0.24 149 354 15 25.83 0.237038
BL2097-1277 1.3 0.24 149 354 15 28.42 0.237038
BL2097-1277 1.3 0.24 149 354 15 24.09 0.237038
BL2151-970 0.2 0.27 158 563 23 30.87 0.209972
BL2151-970 0.2 0.27 158 563 23 26.6 0.209972
BL2151-970 0.2 0.27 158 563 23 31.4 0.209972
BL2151-970 0.2 0.27 158 563 23 31.4 0.209972
BL2151-970 0.2 0.27 158 563 23 28.59 0.209972
BL2223-520 0.3 0.2 104 386 20 20.68 0.1621
BL2223-520 0.3 0.2 104 386 20 22.99 0.1621
BL2223-520 0.3 0.2 104 386 20 23.8 0.1621
BL2223-520 0.3 0.2 104 386 20 23.8 0.1621
BL2238-722 0.2 0.23 106 356 20 24.09 0.151888
BL2238-722 0.2 0.23 106 356 20 20.94 0.151888
BL2238-722 0.2 0.23 106 356 20 24.09 0.151888
BL2238-722 0.2 0.23 106 356 20 24.55 0.151888
BL2238-726 0.2 0.25 175 411 22 33.9 0.243404
BL2238-726 0.2 0.25 175 411 22 32.22 0.243404
BL2238-726 0.2 0.25 175 411 22 33.92 0.243404
BL2238-726 0.2 0.25 175 411 22 28.54 0.243404
BL2238-726 0.2 0.25 175 411 22 33.9 0.243404
BL2240-580 0.7 0.23 115 381 18 27.1 0.233593
BL2240-580 0.7 0.23 115 381 18 27.82 0.233593
BL2240-580 0.7 0.23 115 381 18 21.45 0.233593
BL2240-580 0.7 0.23 115 381 18 27.1 0.233593
BL2269-1637 0.32 0.212 141 355.1 24 26.05 0.205349
BL2269-1637 0.32 0.212 141 355.1 24 27.8 0.205349
BL2269-1637 0.32 0.212 141 355.1 24 30.78 0.205349
BL2269-1637 0.32 0.212 141 355.1 24 28.25 0.205349
BL2269-1637 0.32 0.212 141 355.1 24 31.8 0.205349
BL2269-1639 0.2 0.205 158.3 316.1 17 26.82 0.173077
BL2269-1639 0.2 0.205 158.3 316.1 17 28.35 0.173077
BL2269-1639 0.2 0.205 158.3 316.1 17 29.68 0.173077
BL2269-1639 0.2 0.205 158.3 316.1 17 27.36 0.173077
BL2269-1639 0.2 0.205 158.3 316.1 17 30.97 0.173077
BL2273-325 0.1 0.16 85 339 17 27.09 0.162637
BL2273-325 0.1 0.16 85 339 17 22.62 0.162637
BL2273-325 0.1 0.16 85 339 17 27.94 0.162637
BL2273-325 0.1 0.16 85 339 17 27.94 0.162637
BL2273-336 0.1 0.15 114 261 21 25.78 0.190189
BL2273-336 0.1 0.15 114 261 21 30.53 0.190189
BL2273-336 0.1 0.15 114 261 21 27.26 0.190189
BL2273-336 0.1 0.15 114 261 21 27.26 0.190189
BL2273-336 0.1 0.15 114 261 21 31.85 0.190189
BL2274-617 0.2 0.18 114 292 24 20.7 0.135504
BL2274-617 0.2 0.18 114 292 24 22.63 0.135504
BL2274-617 0.2 0.18 114 292 24 23.02 0.135504
BL2274-617 0.2 0.18 114 292 24 23.02 0.135504
BL2274-622 0.3 0.22 147 294 23 25.41 0.273132
BL2274-622 0.3 0.22 147 294 23 34.5 0.273132
BL2274-622 0.3 0.22 147 294 23 29.74 0.273132
